,frame,part,part_idx,x,y,z
51,8,middle_finger_tip,12,-0.0161322969943285,0.05259408429265022,0.03319832682609558
52,8,ring_finger_tip,16,0.0014379743952304125,0.04918361082673073,0.0301832165569067
53,8,pinky_tip,20,0.009854990988969803,0.04320867732167244,0.02248375117778778
54,9,wrist,0,0.05379198491573334,-0.0070583634078502655,0.07330967485904694
55,9,thumb_tip,4,-0.037744104862213135,0.04370452091097832,0.0005729968543164432
56,9,index_finger_tip,8,-0.023581411689519882,0.0509866364300251,0.030618689954280853
57,9,middle_finger_tip,12,-0.013093799352645874,0.052810367196798325,0.032431796193122864
58,9,ring_finger_tip,16,0.00328664924018085,0.0483626127243042,0.02825786918401718
59,9,pinky_tip,20,0.01378805935382843,0.04071841016411781,0.022610653191804886
60,10,wrist,0,0.05694809928536415,-0.007547125220298767,0.07392434775829315
61,10,thumb_tip,4,-0.03672362118959427,0.04326236993074417,0.00040241985698230565
62,10,index_finger_tip,8,-0.020606491714715958,0.04858756065368652,0.03149574249982834
63,10,middle_finger_tip,12,-0.015145571902394295,0.0532744824886322,0.028725991025567055
64,10,ring_finger_tip,16,0.001411639153957367,0.048162829130887985,0.024708639830350876
65,10,pinky_tip,20,0.014435971155762672,0.04103550314903259,0.019154448062181473
66,11,wrist,0,0.058534421026706696,-0.006642014719545841,0.07224396616220474
67,11,thumb_tip,4,-0.038745954632759094,0.045414216816425323,0.001703618443571031
68,11,index_finger_tip,8,-0.02139398269355297,0.05002091825008392,0.031742408871650696
69,11,middle_finger_tip,12,-0.015443379990756512,0.053838133811950684,0.028121354058384895
70,11,ring_finger_tip,16,0.002020343905314803,0.05067934840917587,0.024712437763810158
71,11,pinky_tip,20,0.015504345297813416,0.04338550195097923,0.01979280449450016
72,12,wrist,0,0.055540136992931366,-0.003937555477023125,0.07373165339231491
73,12,thumb_tip,4,-0.03840338811278343,0.045758459717035294,-0.000646865286398679
74,12,index_finger_tip,8,-0.02326866425573826,0.04969298467040062,0.03358620032668114
75,12,middle_finger_tip,12,-0.01634754240512848,0.05249670147895813,0.028631065040826797
76,12,ring_finger_tip,16,0.0026049381121993065,0.050658196210861206,0.029699105769395828
